prediction,count,subgraph,label
D,6469,Q166735,swamp
E,747,Q166735,swamp
C,468,Q166735,swamp
B,6,Q166735,swamp
A,3,Q618779,award
B,11,Q618779,award
C,1847,Q618779,award
E,6388,Q618779,award
D,9126,Q618779,award
B,2,Q14204246,Wikimedia project page
A,1,Q14204246,Wikimedia project page
E,28873,Q14204246,Wikimedia project page
D,2061,Q14204246,Wikimedia project page
C,361,Q14204246,Wikimedia project page
B,152,Q965568,kelurahan
E,170,Q965568,kelurahan
C,8078,Q965568,kelurahan
D,415,Q965568,kelurahan
B,47,Q4164871,position
C,3028,Q4164871,position
D,109311,Q4164871,position
A,12,Q4164871,position
E,4802,Q4164871,position
A,9,Q12308941,male given name
C,20739,Q12308941,male given name
B,524,Q12308941,male given name
D,15338,Q12308941,male given name
E,1033,Q12308941,male given name
A,2,Q189004,college
B,40,Q189004,college
E,2790,Q189004,college
C,1486,Q189004,college
D,21475,Q189004,college
A,1,Q15243209,historic district
E,1343,Q15243209,historic district
B,39,Q15243209,historic district
D,7765,Q15243209,historic district
C,1383,Q15243209,historic district
B,5,Q34023,tumulus
E,665,Q34023,tumulus
C,7504,Q34023,tumulus
D,1377,Q34023,tumulus
B,70,Q12284,canal
E,4956,Q12284,canal
C,3297,Q12284,canal
D,29670,Q12284,canal
D,1000,Q585956,masia
C,41967,Q585956,masia
E,50,Q585956,masia
A,1,Q22808320,Wikimedia human name disambiguation page
C,1739,Q22808320,Wikimedia human name disambiguation page
D,5030,Q22808320,Wikimedia human name disambiguation page
B,13,Q22808320,Wikimedia human name disambiguation page
E,63903,Q22808320,Wikimedia human name disambiguation page
D,4518,Q11753321,Wikimedia navigational template
C,3108,Q11753321,Wikimedia navigational template
E,37484,Q11753321,Wikimedia navigational template
B,1,Q11753321,Wikimedia navigational template
C,1919,Q327333,government agency
E,2082,Q327333,government agency
D,8176,Q327333,government agency
B,54,Q327333,government agency
A,2,Q327333,government agency
D,27542,Q26887310,association football team season
E,1534,Q26887310,association football team season
C,5861,Q26887310,association football team season
D,37970,Q860861,sculpture
E,1311,Q860861,sculpture
C,7945,Q860861,sculpture
B,84,Q860861,sculpture
A,1,Q860861,sculpture
B,8,Q185113,cape
D,8643,Q185113,cape
E,3852,Q185113,cape
C,2478,Q185113,cape
C,29345,Q7889,video game
B,4646,Q7889,video game
E,1205,Q7889,video game
D,9136,Q7889,video game
A,794,Q7889,video game
D,5243,Q192287,subdivisions of Russia
B,1420,Q192287,subdivisions of Russia
C,8868,Q192287,subdivisions of Russia
E,339,Q192287,subdivisions of Russia
A,53,Q192287,subdivisions of Russia
D,853,Q121117,supercomputer
C,54,Q121117,supercomputer
A,1,Q121117,supercomputer
E,17301,Q121117,supercomputer
B,3,Q121117,supercomputer
C,3260,Q31855,research institute
D,7168,Q31855,research institute
E,268,Q31855,research institute
B,233,Q31855,research institute
A,11,Q31855,research institute
D,11834,Q3052382,fonds
E,18,Q3052382,fonds
C,307,Q3052382,fonds
E,957,Q18761202,watercolor painting
B,52,Q18761202,watercolor painting
C,402,Q18761202,watercolor painting
D,7954,Q18761202,watercolor painting
D,12796,Q1002697,periodical
E,3148,Q1002697,periodical
C,35549,Q1002697,periodical
A,2,Q1002697,periodical
B,212,Q1002697,periodical
C,1856,Q24529780,point
B,15,Q24529780,point
E,3792,Q24529780,point
D,19631,Q24529780,point
D,71,Q104093746,lake or pond
C,31050,Q104093746,lake or pond
B,152,Q104093746,lake or pond
E,1,Q104093746,lake or pond
D,96492,Q27020041,sports season
B,563,Q27020041,sports season
C,31017,Q27020041,sports season
A,2,Q27020041,sports season
E,23607,Q27020041,sports season
B,5,Q133056,mountain pass
C,1848,Q133056,mountain pass
E,1154,Q133056,mountain pass
D,12042,Q133056,mountain pass
B,72,Q7397,software
A,4,Q7397,software
E,2085,Q7397,software
C,2277,Q7397,software
D,5160,Q7397,software
D,2552206,Q6999,astronomical object
C,4107902,Q6999,astronomical object
E,227741,Q6999,astronomical object
B,1516261,Q6999,astronomical object
A,797,Q6999,astronomical object
E,3941,Q3914,school
A,1,Q3914,school
C,8476,Q3914,school
B,45,Q3914,school
D,23309,Q3914,school
C,961,Q417841,protein family
B,53,Q417841,protein family
D,22013,Q417841,protein family
E,1176,Q417841,protein family
A,1,Q417841,protein family
E,220,Q22969563,bodendenkmal
C,49768,Q22969563,bodendenkmal
D,190,Q22969563,bodendenkmal
D,11159,Q26894053,basketball team season
E,500,Q26894053,basketball team season
C,351,Q26894053,basketball team season
D,38089,Q489357,farmhouse
E,131,Q489357,farmhouse
C,1948,Q489357,farmhouse
E,56,Q732577,publication
D,8952,Q732577,publication
B,39,Q732577,publication
C,24170,Q732577,publication
E,1469,Q27686,hotel
B,92,Q27686,hotel
D,8382,Q27686,hotel
C,2683,Q27686,hotel
A,1,Q27686,hotel
D,784,Q21672098,village of Ukraine
E,9,Q21672098,village of Ukraine
B,14,Q21672098,village of Ukraine
C,25712,Q21672098,village of Ukraine
D,268,Q15184295,Wikimedia module
E,49080,Q15184295,Wikimedia module
C,64,Q15184295,Wikimedia module
C,10485,Q15303838,municipality seat
E,2890,Q15303838,municipality seat
B,216,Q15303838,municipality seat
A,10,Q15303838,municipality seat
D,1784,Q15303838,municipality seat
E,3079,Q178561,battle
A,2,Q178561,battle
D,5464,Q178561,battle
C,5355,Q178561,battle
B,17,Q178561,battle
A,16,Q23397,lake
D,169769,Q23397,lake
E,5941,Q23397,lake
B,1308,Q23397,lake
C,84230,Q23397,lake
D,11861,Q66826848,"protein obsoleted in UniProtKB, SwissProt, TrEMBL"
C,7932,Q66826848,"protein obsoleted in UniProtKB, SwissProt, TrEMBL"
E,7,Q66826848,"protein obsoleted in UniProtKB, SwissProt, TrEMBL"
C,6418,Q7278,political party
D,10937,Q7278,political party
E,1092,Q7278,political party
A,37,Q7278,political party
B,244,Q7278,political party
E,3695,Q34038,waterfall
C,1172,Q34038,waterfall
D,5570,Q34038,waterfall
A,1,Q34038,waterfall
B,10,Q34038,waterfall
C,87,Q14860489,molecular function
B,1,Q14860489,molecular function
E,1,Q14860489,molecular function
D,10808,Q14860489,molecular function
D,20293,Q16887380,group
C,364,Q16887380,group
E,168,Q16887380,group
B,9,Q16887380,group
A,2,Q16887380,group
C,5033,Q2065736,cultural property
A,5,Q2065736,cultural property
D,31998,Q2065736,cultural property
B,250,Q2065736,cultural property
E,16313,Q2065736,cultural property
C,2826,Q15773317,television character
D,6076,Q15773317,television character
E,342,Q15773317,television character
A,21,Q15773317,television character
B,86,Q15773317,television character
E,179,Q506240,television film
D,9441,Q506240,television film
C,7367,Q506240,television film
A,6,Q506240,television film
B,753,Q506240,television film
C,1,Q61278455,health sub-centre
D,75,Q61278455,health sub-centre
E,8,Q61278455,health sub-centre
D,5003,Q29023906,temporary exhibition
E,29,Q29023906,temporary exhibition
C,1102,Q29023906,temporary exhibition
B,76,Q29023906,temporary exhibition
B,3,Q2593777,grave field
D,9465,Q2593777,grave field
E,672,Q2593777,grave field
C,755,Q2593777,grave field
C,7261,Q484170,commune of France
A,11513,Q484170,commune of France
B,26205,Q484170,commune of France
E,9,Q484170,commune of France
D,590,Q484170,commune of France
D,9063,Q277338,pseudogene
E,55,Q277338,pseudogene
C,7303,Q277338,pseudogene
B,41294,Q277338,pseudogene
C,808759,Q4167836,Wikimedia category
D,1107390,Q4167836,Wikimedia category
E,1546826,Q4167836,Wikimedia category
E,2136,Q35127,website
C,2427,Q35127,website
D,7203,Q35127,website
A,38,Q35127,website
B,216,Q35127,website
E,2561,Q26267864,Wikimedia KML file
D,3,Q26267864,Wikimedia KML file
E,76,Q23038290,fossil taxon
D,28683,Q23038290,fossil taxon
B,1174,Q23038290,fossil taxon
A,10,Q23038290,fossil taxon
C,74816,Q23038290,fossil taxon
C,26402,Q126807,kindergarten
E,1061,Q126807,kindergarten
D,6746,Q126807,kindergarten
D,6285,Q149566,middle school
E,890,Q149566,middle school
C,2857,Q149566,middle school
C,4,Q1505023,Interpellation
D,12566,Q1505023,Interpellation
B,880,Q26211545,desa
D,863,Q26211545,desa
C,16925,Q26211545,desa
E,83,Q26211545,desa
D,116,Q310890,monotypic taxon
A,6,Q310890,monotypic taxon
C,5577,Q310890,monotypic taxon
B,4368,Q310890,monotypic taxon
A,1,Q852190,shipwreck
C,216,Q852190,shipwreck
D,24205,Q852190,shipwreck
B,22,Q852190,shipwreck
E,58,Q852190,shipwreck
C,14330,Q59542487,Wikimedia set category
D,19832,Q59542487,Wikimedia set category
E,50,Q59542487,Wikimedia set category
B,246,Q163740,nonprofit organization
D,13912,Q163740,nonprofit organization
C,3896,Q163740,nonprofit organization
E,1612,Q163740,nonprofit organization
A,22,Q163740,nonprofit organization
C,454,Q59199015,group of stereoisomers
E,751,Q59199015,group of stereoisomers
D,122336,Q59199015,group of stereoisomers
A,16,Q59199015,group of stereoisomers
B,215,Q59199015,group of stereoisomers
C,50,Q81505329,protein family associated with domain
E,1,Q81505329,protein family associated with domain
B,5,Q81505329,protein family associated with domain
D,12404,Q81505329,protein family associated with domain
B,14,Q25379,play
C,432,Q25379,play
E,289,Q25379,play
D,896,Q25379,play
B,1,Q47345468,tennis tournament edition
E,596,Q47345468,tennis tournament edition
D,4078,Q47345468,tennis tournament edition
C,9347,Q47345468,tennis tournament edition
C,735,Q30198,marsh
D,18673,Q30198,marsh
B,1,Q30198,marsh
E,2737,Q30198,marsh
C,38296,Q47461344,written work
B,222,Q47461344,written work
A,22,Q47461344,written work
D,35764,Q47461344,written work
E,4721,Q47461344,written work
B,69,Q15416,television program
A,6,Q15416,television program
C,4621,Q15416,television program
D,29969,Q15416,television program
E,10090,Q15416,television program
D,14934,Q176799,military unit
C,1267,Q176799,military unit
E,4087,Q176799,military unit
B,8,Q176799,military unit
A,1,Q3950,villa
B,46,Q3950,villa
D,11545,Q3950,villa
C,3202,Q3950,villa
